0 0 0
 2.78088e-17  1.00901e-16 -2.34323e-17
  0.0395731 0.000547636     9.81345
  0.0395579 0.000547113     9.81345
  0.0395413 0.000546596     9.81345
  0.0395232 0.000546023     9.81344
  0.0395038 0.000545408     9.81344
 0.0394829 0.00054482    9.81345
  0.0394607 0.000544194     9.81345
  0.0394371 0.000543518     9.81344
   0.039412 0.000542797     9.81344
 0.0393856 0.00054206    9.81344
  0.0393578 0.000541282     9.81344
  0.0393287 0.000540458     9.81344
  0.0392981 0.000539693     9.81344
  0.0392663 0.000538818     9.81344
  0.039233 0.00053794    9.81344
  0.0391984 0.000537036     9.81344
  0.0391625 0.000536082     9.81344
  0.0391253 0.000535129     9.81344
  0.0390867 0.000534167     9.81344
  0.0390468 0.000533134     9.81344
  0.0390055 0.000532089     9.81343
   0.038963 0.000530987     9.81343
  0.0389192 0.000529884     9.81343
   0.038874 0.000528771     9.81343
  0.0388276 0.000527604     9.81343
  0.0387798 0.000526436     9.81343
  0.0387307 0.000525231     9.81342
  0.0386804 0.000523951     9.81342
  0.0386289 0.000522705     9.81342
   0.038576 0.000521405     9.81342
  0.0385219 0.000520087     9.81342
  0.0384665 0.000518708     9.81341
  0.0384099 0.000517314     9.81341
   0.038352 0.000515906     9.81341
  0.0382929 0.000514485     9.81341
  0.0382325 0.000513008     9.81341
 0.0381709 0.00051151     9.8134
  0.0381081 0.000509975      9.8134
 0.0380441 0.00050842     9.8134
  0.0379789 0.000506845     9.81339
  0.0379125 0.000505257     9.81339
  0.0378448 0.000503652     9.81339
0.0377759  0.000502   9.81339
  0.0377059 0.000500304     9.81338
  0.0376347 0.000498582     9.81338
  0.0375623 0.000496839     9.81338
 0.0374887 0.00049507    9.81337
   0.037414 0.000493289     9.81337
  0.0373382 0.000491453     9.81336
 0.0372611 0.00048964    9.81336
 0.0371829 0.00048776    9.81336
  0.0371035 0.000485867     9.81335
   0.037023 0.000483937     9.81335
  0.0369414 0.000481967     9.81335
 0.0368587 0.00048001    9.81334
  0.0367749 0.000477991     9.81334
  0.0366899 0.000476031     9.81333
  0.0366039 0.000473966     9.81333
  0.0365166 0.000471869     9.81332
  0.0364283 0.000469756     9.81332
   0.036339 0.000467625     9.81331
  0.0362486 0.000465476     9.81331
   0.036157 0.000463284      9.8133
  0.0360645 0.000461079      9.8133
  0.0359708 0.000458875     9.81329
  0.0358761 0.000456613     9.81329
  0.0357804 0.000454372     9.81328
  0.0356835 0.000452072     9.81328
  0.0355856 0.000449722     9.81327
  0.0354867 0.000447365     9.81327
   0.035387 0.000445033     9.81326
 0.0352859 0.00044262    9.81325
   0.035184 0.000440206     9.81325
   0.035081 0.000437745     9.81324
  0.0349771 0.000435314     9.81324
  0.0348721 0.000432807     9.81323
  0.0347663 0.000430303     9.81322
  0.0346593 0.000427759     9.81322
  0.0345514 0.000425179     9.81321
  0.0344425 0.000422617     9.81321
 0.0343326 0.00042003     9.8132
  0.0342219 0.000417404     9.81319
  0.0341102 0.000414726     9.81319
  0.0339975 0.000412087     9.81318
  0.0338838 0.000409374     9.81317
  0.0337693 0.000406688     9.81316
  0.0336538 0.000403931     9.81316
  0.0335374 0.000401172     9.81315
  0.0334201 0.000398382     9.81314
  0.0333018 0.000395564     9.81314
  0.0331828 0.000392765     9.81313
  0.0330628 0.000389893     9.81312
 0.0329418 0.00038705    9.81311
  0.0328201 0.000384138     9.81311
 0.0326975 0.00038127     9.8131
  0.0325739 0.000378329     9.81309
  0.0324496 0.000375366     9.81308
  0.0323243 0.000372382     9.81308
  0.0340052 0.000344879     9.81243
  0.0337769 0.000343283     9.81244
 0.0335526 0.00034161    9.81245
  0.0333319 0.000339881     9.81246
  0.0331147 0.000338043     9.81247
  0.0329007 0.000336178     9.81247
  0.0326898 0.000334221     9.81248
  0.0324818 0.000332226     9.81249
  0.0322766 0.000330202     9.81249
  0.0320738 0.000328141      9.8125
  0.0318735 0.000325969      9.8125
  0.0316754 0.000323765     9.81251
  0.0314795 0.000321565     9.81251
  0.0312855 0.000319222     9.81252
  0.0310934 0.000316919     9.81252
  0.0309031 0.000314523     9.81252
  0.0307144 0.000312099     9.81252
  0.0305272 0.000309653     9.81253
  0.0303415 0.000307176     9.81253
  0.0301572 0.000304624     9.81253
   0.029974 0.000302063     9.81253
   0.029792 0.000299455     9.81253
  0.0296111 0.000296798     9.81253
  0.0294313 0.000294122     9.81253
  0.0292524 0.000291408     9.81253
 0.0290743 0.00028867    9.81253
   0.028897 0.000285865     9.81253
 0.0287204 0.00028307    9.81253
  0.0285446 0.000280227     9.81253
  0.0283693 0.000277388     9.81253
  0.0281946 0.000274493     9.81253
  0.0280204 0.000271552     9.81252
  0.0278468 0.000268613     9.81252
 0.0276735 0.00026563    9.81252
  0.0275006 0.000262614     9.81252
  0.0273281 0.000259622     9.81251
  0.0271559 0.000256565     9.81251
   0.026984 0.000253509     9.81251
  0.0268122 0.000250401     9.81251
  0.0266408 0.000247284      9.8125
  0.0264696 0.000244146      9.8125
  0.0262984 0.000240967     9.81249
  0.0261274 0.000237777     9.81249
  0.0259565 0.000234566     9.81249
  0.0275998 0.000202575     9.81184
  0.0273256 0.000200924     9.81185
  0.0270561 0.000199184     9.81187
  0.0267912 0.000197382     9.81188
  0.0265307 0.000195533     9.81189
  0.0262742 0.000193594      9.8119
  0.0260216 0.000191602     9.81191
  0.0257727 0.000189546     9.81192
  0.0255273 0.000187394     9.81193
  0.0252853 0.000185231     9.81194
  0.0250464 0.000182982     9.81195
  0.0248105 0.000180715     9.81196
  0.0245775 0.000178379     9.81197
  0.0243471 0.000175965     9.81197
  0.0241194 0.000173543     9.81198
  0.0238939 0.000171106     9.81199
  0.0236709 0.000168537     9.81199
    0.02345 0.000165952       9.812
 0.0232312 0.00016337      9.812
  0.0230144 0.000160691     9.81201
  0.0227994 0.000157998     9.81201
  0.0225863 0.000155309     9.81201
  0.0223747 0.000152536     9.81202
  0.0221648 0.000149749     9.81202
  0.0219564 0.000146895     9.81202
  0.0217494 0.000144053     9.81203
  0.0215438 0.000141198     9.81203
  0.0213394 0.000138251     9.81203
  0.0211363 0.000135274     9.81203
  0.0209342 0.000132275     9.81203
  0.0207333 0.000129281     9.81203
